TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
C-214,CITY-PARISH,GREENWELL SPRINGS RD,ARDENWOOD AVE,SIGNAL,NO,POINT (-91.130153604114 30.46757503342)
C-309,CITY-PARISH,LA 19,NEW WEIS RD,SIGNAL,NO,POINT (-91.153569329817 30.641233041151)
C-276,CITY-PARISH,GOVERNMENT ST,EDDIE ROBINSON DR,SIGNAL,YES,POINT (-91.175817558665 30.44363395571)
S-354,CITY-PARISH,FLORIDA ST,RIVER RD,SIGNAL,YES,POINT (-91.190400212463 30.449237874124)
S-363,CITY-PARISH,HARDING BLVD,ATM-EOC,SIGNAL,NO,POINT (-91.152848523099 30.521596103414)
S-346,CITY-PARISH,BLUEBONNET BLVD,HIGHLAND RD,SIGNAL,NO,POINT (-91.106655793147 30.36048863046)
S-294,CITY-PARISH,ESSEN LN,UNITED PLAZA BLVD,SIGNAL,NO,POINT (-91.100657494382 30.410449719826)
S-324,STATE,HIGHLAND RD,PERKINS RD,SIGNAL,NO,POINT (-91.031125547475 30.345187434604)
S-207,STATE,GREENWELL SPRINGS RD,N FLANNERY RD,SIGNAL,NO,POINT (-91.048467408612 30.499050634214)
S-291,CITY-PARISH,SIEGEN LN,RIEGER RD,SIGNAL,NO,POINT (-91.06484364016 30.38428925441)
S-366,CITY-PARISH,OLD HAMMOND HWY,N HARRELL'S FERRY RD,SIGNAL,NO,POINT (-91.064600852279 30.434940805275)
S-182,STATE,JOOR RD,MICKENS RD,SIGNAL,NO,POINT (-91.08534150893 30.504354840622)
C-115,CITY-PARISH,NORTH BLVD,N 4TH ST/SAINT FERDINAND ST,SIGNAL,YES,POINT (-91.186838628165 30.447094775504)
S-349,CITY-PARISH,ESSEN LN,UNITED PLAZA BLVD,SIGNAL,NO,POINT (-91.099464637656 30.41300564638)
S-308,CITY-PARISH,ACADIAN THWY,RICHLAND PLANTATION,SIGNAL,NO,POINT (-91.151510920654 30.423124085952)
C-221,CITY-PARISH,FRENCHTOWN ROAD,WINTERSET DR,BEACON,NO,POINT (-91.028508334526 30.506793522012)
C-321,CITY-PARISH,PERKINS RD,VALLEY ST,SIGNAL,NO,POINT (-91.148807183519 30.419161937962)
S-205,STATE,JOOR RD,LOVETT RD,SIGNAL,NO,POINT (-91.062482738803 30.531865032118)
C-324,CITY-PARISH,BURBANK DR,GARDERE LN,SIGNAL,NO,POINT (-91.1239532522 30.36036420779)
C-268,CITY-PARISH,O'NEAL LN,WALMART,SIGNAL,YES,POINT (-91.007592653974 30.438411552227)
C-297,CITY-PARISH,S RIVER RD,WATER CAMPUS,SIGNAL,YES,POINT (-91.19017999734 30.437073401702)
C-049,CITY-PARISH,FAIRWAY DR,,BEACON,NO,POINT (-91.091269865175 30.429003071272)
C-322,CITY-PARISH,HIGHLAND RD,SIEGEN LN / BURBANK DR,SIGNAL,NO,POINT (-91.083398941751 30.350823857014)
C-252,CITY-PARISH,TIGER BEND RD,ELLIOT RD,BEACON,NO,POINT (-90.990708395634 30.388202018515)
S-378,CITY-PARISH,GREENWELL SPRINGS RD,CENTRAL THWY,SIGNAL,NO,POINT (-91.026284820524 30.514896047978)
C-306,CITY-PARISH,LA 19,PORT HUDSON-PRIDE RD,SIGNAL,NO,POINT (-91.148927576676 30.68392601227)
C-220,CITY-PARISH,GOODWOOD BLVD,,BEACON,NO,POINT (-91.071548448977 30.444753880559)
C-262,CITY-PARISH,O'NEAL LN,STRAIN RD,SIGNAL,NO,POINT (-91.008353445382 30.457221115507)
S-285,STATE,HOOPER RD,BLACKWATER RD,SIGNAL,NO,POINT (-91.086899670833 30.533166995276)
S-015,STATE,HOOPER RD,MICKENS RD,SIGNAL,YES,POINT (-91.127246529707 30.526348550162)
C-299,CITY-PARISH,HIGH ST,ROLLINS RD / OLD BAKER RD,SIGNAL,NO,POINT (-91.158953188449 30.649872316552)
S-056,STATE,AIRLINE HWY,HIGHLAND RD,SIGNAL,NO,POINT (-91.008672467464 30.359030486447)
S-242,STATE,LA 19,RAFE MAYER RD,SIGNAL,NO,POINT (-91.172213540409 30.566893605314)
S-218,STATE,PLANK RD,KENT DR,SIGNAL,NO,POINT (-91.124035381103 30.589067073389)
S-284,CITY-PARISH,AIRLINE HWY,E INDUSTRIAL AVE,SIGNAL,NO,POINT (-91.110399725702 30.473118695234)
C-121,CITY-PARISH,NORTH BLVD,SAINT LOUIS ST,SIGNAL,YES,POINT (-91.187609505043 30.447191698565)
S-351,CITY-PARISH,RIVER RD,STATE CAPITOL DR,SIGNAL,YES,POINT (-91.189977242949 30.456126570887)
S-281,CITY-PARISH,SIEGEN LN,REITZ AVE,SIGNAL,NO,POINT (-91.063087479186 30.387163406111)
S-305,CITY-PARISH,AIRLINE HWY,SHERWOOD COMMON BLVD,SIGNAL,NO,POINT (-91.058956087918 30.40430455711)
S-275,CITY-PARISH,PLANK RD,DENHAM ST,SIGNAL,NO,POINT (-91.151437174443 30.504448917768)
C-311,CITY-PARISH,NICHOLSON DR,PED CROSSING,SIGNAL,YES,POINT (-91.187364328419 30.415556934192)
S-334,CITY-PARISH,JEFFERSON HWY,BLUEBONNET BLVD,SIGNAL,NO,POINT (-91.078430366747 30.411202661732)
C-310,CITY-PARISH,PLANK RD,LA 64,SIGNAL,NO,POINT (-91.105264621011 30.648979291878)
C-269,CITY-PARISH,O'NEAL LN,MEDICAL CENTER DR,SIGNAL,NO,POINT (-91.007589377351 30.439727306966)
S-330,CITY-PARISH,ESSEN LN,ESSEN PARK AVE,SIGNAL,NO,POINT (-91.102944633802 30.405579059784)
S-312,CITY-PARISH,RIVER RD,CASINO,SIGNAL,NO,POINT (-91.189445334021 30.460208790353)
C-289,CITY-PARISH,PERKINS RD,GREAT OAKS DR / WIMBLEDON AVE,SIGNAL,YES,POINT (-91.0899686498 30.374559657979)
S-371,CITY-PARISH,MALL OF LOUISIANA BLVD,I-10,SIGNAL,NO,POINT (-91.078154633447 30.390729117791)
C-312,CITY-PARISH,NICHOLSON DR,S STADIUM RD / SKIP BERTMAN DR,SIGNAL,YES,POINT (-91.186462120255 30.411202342937)
C-094,CITY-PARISH,LAUREL ST,4TH ST,SIGNAL,YES,POINT (-91.187116208903 30.450400702378)
S-007,STATE,LA 19,RAY WEILAND DR / TRUMAN ST,SIGNAL,NO,POINT (-91.168599931606 30.585940965513)
S-375,CITY-PARISH,SIEGEN LN,N OAK HILLS PKWY,SIGNAL,YES,POINT (-91.079071514751 30.360747450612)
C-250,CITY-PARISH,LOBDELL AVE,SEVENOAKS AVE,BEACON,NO,POINT (-91.110731951425 30.439264448735)
S-321,CITY-PARISH,OLD HAMMOND HWY,CHEVELLE AVE,SIGNAL,NO,POINT (-91.098543093168 30.431030278464)
C-323,CITY-PARISH,BLUEBONNET BLVD,BURBANK DR,SIGNAL,NO,POINT (-91.110320211508 30.354350161139)
C-295,CITY-PARISH,MILLERVILLE RD,S FLANNERY RD,SIGNAL,NO,POINT (-91.024481781563 30.44473245711)
S-357,CITY-PARISH,HARDING BLVD,HOWELL BLVD,SIGNAL,NO,POINT (-91.156776455785 30.52147619009)
S-376,CITY-PARISH,AIRLINE HWY,STUMBERG LN / PECUE BLVD,SIGNAL,NO,POINT (-91.038358753194 30.380881951045)
S-189,STATE,SAMUELS RD,MT PLEASANT-ZACHARY RD,SIGNAL,NO,POINT (-91.247835313324 30.64684876476)
S-301,CITY-PARISH,DRUSILLA LN,I-12,SIGNAL,NO,POINT (-91.088921991425 30.418925801753)
S-333,CITY-PARISH,FLORIDA BLVD,CENTERWAY BLVD,SIGNAL,NO,POINT (-91.091874115467 30.45357435031)
S-355,CITY-PARISH,RIVER RD,LAUREL ST,SIGNAL,YES,POINT (-91.190471496001 30.450301572875)
S-322,CITY-PARISH,ESSEN LN,CONSTANTIN BLVD,SIGNAL,NO,POINT (-91.103710120492 30.404408704454)
S-280,CITY-PARISH,SIEGEN LN,INDUSTRIPLEX BLVD,SIGNAL,NO,POINT (-91.061713074457 30.38945062216)
S-309,CITY-PARISH,ACADIAN THWY,BAWELL ST,SIGNAL,NO,POINT (-91.151088057439 30.426951064129)
S-289,STATE,JEFFERSON HWY,HIGHLAND RD,SIGNAL,NO,POINT (-91.003733549659 30.362313648151)
S-361,CITY-PARISH,ESSEN LN,ARCHIVES AVE,SIGNAL,NO,POINT (-91.098833901066 30.414426682155)
C-249,CITY-PARISH,GOODWOOD AVE,SEVENOAKS AVE,BEACON,NO,POINT (-91.127162964092 30.441677747293)
C-267,CITY-PARISH,O'NEAL LN,BRISTOE AVE,SIGNAL,YES,POINT (-91.007660730921 30.435812681387)
S-341,CITY-PARISH,BLUEBONNET BLVD,MALL DRIVE 1,SIGNAL,NO,POINT (-91.088337776849 30.393223299822)
S-286,CITY-PARISH,SIEGEN LN,KINGLET DR / N MALL DR,SIGNAL,NO,POINT (-91.067356486141 30.379471625731)
S-213,STATE,GREENWELL SPRINGS RD,FRENCHTOWN RD,SIGNAL,NO,POINT (-91.032426855 30.508301520334)
S-311,CITY-PARISH,JEFFERSON HWY,I-12,SIGNAL,NO,POINT (-91.089020348765 30.416729306372)
S-277,STATE,GREENWELL SPRINGS RD,MORGAN RD,SIGNAL,NO,POINT (-90.998774928842 30.518324930319)
C-301,CITY-PARISH,MAIN ST,WALMART,SIGNAL,NO,POINT (-91.14267502692 30.648730311174)
C-287,CITY-PARISH,PERKINS RD,WINDERMERE BLVD / YMCA PLAZA DR,SIGNAL,YES,POINT (-91.078177629906 30.369454580938)
S-306,CITY-PARISH,BURBANK DR,JENNIFER JEAN DR,SIGNAL,YES,POINT (-91.17443653496 30.400141951028)
S-350,CITY-PARISH,SULLIVAN RD,HUNTLEY AVE,SIGNAL,NO,POINT (-91.029306697022 30.546094272983)
C-099,CITY-PARISH,LAUREL ST,3RD ST,SIGNAL,YES,POINT (-91.188328704867 30.450364830156)
C-305,CITY-PARISH,OLD SCENIC HWY,MT PLEASANT-ZACHARY RD / CHURCH ST,SIGNAL,NO,POINT (-91.193329044208 30.65469610111)
C-266,CITY-PARISH,O'NEAL LN,FIREWOOD AVE,SIGNAL,YES,POINT (-91.007650496873 30.434123708201)
C-315,CITY-PARISH,PERKINS RD,KENILWORTH PKWY,SIGNAL,NO,POINT (-91.116674217698 30.399716721629)
S-370,CITY-PARISH,PLANK RD,COCA-COLA FACILITY,SIGNAL,NO,POINT (-91.140287893099 30.535059202118)
S-342,CITY-PARISH,BLUEBONNET BLVD,PICARDY AVE / MALL OF LOUISIANA BLVD,SIGNAL,NO,POINT (-91.090882400218 30.391640849769)
S-326,CITY-PARISH,JEFFERSON HWY,WRENWOOD BLVD / OFFICE PARK BLVD,SIGNAL,NO,POINT (-91.101608013956 30.422030548076)
S-191,STATE,AIRLINE HWY,SHERWOOD FOREST BLVD / SIEGEN LN,SIGNAL,NO,POINT (-91.0541326158 30.399014221743)
S-083,CITY-PARISH,FLORIDA ST,10TH ST,SIGNAL,YES,POINT (-91.179892071523 30.449578645301)
S-006,STATE,LA 19,GROOM RD,SIGNAL,YES,POINT (-91.168144942536 30.588299873351)
C-081,CITY-PARISH,HIGHLAND RD,VETERANS DR,SIGNAL,YES,POINT (-91.176249576436 30.413325618471)
C-302,STATE,MAIN ST,MONTEGUDO BLVD,SIGNAL,NO,POINT (-91.13859037565 30.650161626735)
C-300,CITY-PARISH,MAIN ST,LEE ST,SIGNAL,NO,POINT (-91.154915701353 30.648322944966)
S-261,STATE,JOOR RD,GREENWELL ST,SIGNAL,NO,POINT (-91.087134914897 30.502469375322)
S-258,STATE,GREENWELL SPRINGS RD,SULLIVAN RD,SIGNAL,NO,POINT (-91.029771794641 30.511802627211)
S-263,STATE,JEFFERSON HWY,TIGER BEND RD,SIGNAL,NO,POINT (-91.034222061135 30.392020984269)
S-221,STATE,JOOR RD,PRESCOTT RD,SIGNAL,NO,POINT (-91.088668117287 30.491161765071)
S-383,STATE,HIGHLAND RD,I-10,SIGNAL,NO,POINT (-91.030173346926 30.34604113934)
S-008,STATE,LA 19,LAVEY LN / S MAGNOLIA AVE,SIGNAL,NO,POINT (-91.170563731193 30.575292376738)
C-307,CITY-PARISH,LA 19,CHURCH ST,SIGNAL,NO,POINT (-91.150243671598 30.649370348633)
S-288,STATE,JEFFERSON HWY,BARINGER-FOREMAN RD,SIGNAL,NO,POINT (-91.017155126122 30.375690699558)
S-012,STATE,HOOPER RD,JOOR RD,SIGNAL,NO,POINT (-91.053604137818 30.547231283032)
C-261,CITY-PARISH,O'NEAL LN,COLISEUM AVE / WOODWICK AVE,SIGNAL,NO,POINT (-91.008298879132 30.454072232135)
C-320,CITY-PARISH,PERKINS RD,BALIS ST / STUART AVE,SIGNAL,NO,POINT (-91.146826478816 30.418026366719)
C-282,CITY-PARISH,JEFFERSON HWY,TOWNE CENTER BLVD,SIGNAL,YES,POINT (-91.115310825577 30.433965146482)
S-077,CITY-PARISH,JEFFERSON HWY,CORPORATE BLVD / OLD HAMMOND HWY,SIGNAL,NO,POINT (-91.10918744237 30.430760367104)
C-304,CITY-PARISH,MAIN ST,HOME DEPOT,SIGNAL,NO,POINT (-91.133520754352 30.649549999685)
C-314,CITY-PARISH,PERKINS RD,ONE PERKINS PLACE DR,SIGNAL,NO,POINT (-91.115139713334 30.398572053274)
C-024,CITY-PARISH,COLLEGE DR,,BEACON,NO,POINT (-91.129242163777 30.438148524079)
C-072,CITY-PARISH,E HARRISON ST,TENNESSEE ST,BEACON,NO,POINT (-91.176105714925 30.429126507189)
S-274,CITY-PARISH,NICHOLSON DR,BURBANK DR / GOURRIER AVE,SIGNAL,NO,POINT (-91.183738936237 30.40455211902)
S-327,CITY-PARISH,COLLEGE DR,I-10 / CONSTITUTION AVE,SIGNAL,NO,POINT (-91.139803118391 30.422310015733)
S-111,STATE,PLANK RD,THOMAS RD / COMITE DR,SIGNAL,NO,POINT (-91.133376124933 30.55880861688)
S-196,STATE,LA 19,BAKER BLVD,SIGNAL,NO,POINT (-91.166945697507 30.59447879444)
S-293,STATE,AIRLINE HWY,BARINGER-FOREMAN RD,SIGNAL,NO,POINT (-91.021876209252 30.364094572246)
SU-1,STATE,SWAN AVE,ISABEL HERSON DR,SIGNAL,NO,POINT (-91.186253428293 30.523582620908)
S-347,CITY-PARISH,BLUEBONNET BLVD,N OAK HILLS PKWY,SIGNAL,NO,POINT (-91.102715035402 30.369621122663)
C-291,CITY-PARISH,DRUSILLA LN,INTERLINE AVE,SIGNAL,NO,POINT (-91.088081631881 30.420402602015)
C-263,CITY-PARISH,O'NEAL LN,OLD HAMMOND HWY,SIGNAL,NO,POINT (-91.008378152946 30.460199694959)
C-293,CITY-PARISH,W LEE DR,FROG ALY,SIGNAL,NO,POINT (-91.164819422086 30.390503388712)
S-272,CITY-PARISH,FLORIDA BLVD,CENTRAL THWY / O'NEAL LN,SIGNAL,NO,POINT (-91.010036586485 30.466565727007)
C-097,CITY-PARISH,LAUREL ST,7TH ST,SIGNAL,YES,POINT (-91.183473134184 30.45051081785)
C-265,CITY-PARISH,O'NEAL LN,S HARRELL'S FERRY RD,SIGNAL,YES,POINT (-91.007572357435 30.425391501055)
C-308,CITY-PARISH,LA 19,MAIN ST,SIGNAL,NO,POINT (-91.150472858913 30.647834118471)
S-368,CITY-PARISH,SIEGEN LN,CLOVERLAND AVE,SIGNAL,NO,POINT (-91.058159534197 30.395252619529)
C-294,CITY-PARISH,STANFORD AVE,BR BEACH,SIGNAL,YES,POINT (-91.16353349726 30.408324195742)
C-257,CITY-PARISH,W LAKESHORE DR,E PARKER BLVD,SIGNAL,NO,POINT (-91.170876270614 30.407831623085)
S-238,STATE,AIRLINE HWY,JEFFERSON HWY,SIGNAL,NO,POINT (-91.051326440341 30.395613405461)
S-201,STATE,HOOPER RD,FOSTER RD,SIGNAL,NO,POINT (-91.108121329691 30.529192020642)
C-096,CITY-PARISH,LAUREL ST,6TH ST,SIGNAL,YES,POINT (-91.184739116981 30.450475722001)
S-343,CITY-PARISH,BLUEBONNET BLVD,MALL DRIVE 3,SIGNAL,NO,POINT (-91.092566571613 30.389310810873)
S-372,CITY-PARISH,PERKINS RD,PECUE LN,SIGNAL,NO,POINT (-91.052663753385 30.360397760219)
S-373,CITY-PARISH,RIVER RD,RIVER PARK BLVD,SIGNAL,NO,POINT (-91.188979007107 30.462151169639)
S-315,STATE,JEFFERSON HWY,HOO SHOO TOO RD,SIGNAL,NO,POINT (-90.99276812878 30.3554140511)
S-402,STATE,PLANK RD,BLOUNT RD,SIGNAL,NO,POINT (-91.136850216891 30.54422580535)
S-359,CITY-PARISH,BLUEBONNET BLVD,PARK ROWE,SIGNAL,NO,POINT (-91.096905115513 30.380923447038)
C-247,CITY-PARISH,HENNESSY BLVD,OLOL,BEACON,NO,POINT (-91.10695129877 30.40239206838)
C-023,CITY-PARISH,COLLEGE DR,BENNINGTON AVE / RABEY ST,SIGNAL,YES,POINT (-91.140572392357 30.420990402215)
C-264,CITY-PARISH,O'NEAL LN,HOBBY LOBBY / OLD LONDON,SIGNAL,NO,POINT (-91.007581959028 30.445348823479)
S-271,CITY-PARISH,GREENWELL SPRINGS RD,RIDGEMONT DR,SIGNAL,NO,POINT (-91.071360153807 30.491053118421)
