TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
S-150,CITY-PARISH,CONVENTION ST,10TH ST,SIGNAL,NO,POINT (-91.179838647279 30.448515871423)
S-084,CITY-PARISH,ACADIAN THWY,FLORIDA BLVD,SIGNAL,YES,POINT (-91.154665988659 30.450334220011)
C-088,CITY-PARISH,HIGHLAND RD,TERRACE ST,SIGNAL,YES,POINT (-91.185261899431 30.436194068318)
S-086,CITY-PARISH,FLORIDA ST,PEACHTREE BLVD,SIGNAL,NO,POINT (-91.152420103725 30.450416998892)
C-238,CITY-PARISH,BLUEBONNET BLVD,CELTIC DR,SIGNAL,NO,POINT (-91.073278579203 30.415403564506)
S-181,CITY-PARISH,LOUISE ST,BRADDOCK ST,BEACON,NO,POINT (-91.177121016995 30.434288120122)
S-178,CITY-PARISH,SCENIC HWY,CHOCTAW DR,SIGNAL,NO,POINT (-91.168185557669 30.469852513912)
C-182,CITY-PARISH,BLUEBONNET BLVD,GAIL DR,SIGNAL,YES,POINT (-91.084203936952 30.400513640609)
C-078,CITY-PARISH,HIGHLAND RD,LSU AVE,SIGNAL,YES,POINT (-91.170557829945 30.402215399624)
C-193,CITY-PARISH,CORPORATE BLVD,CITIPLACE CT,SIGNAL,NO,POINT (-91.129974914187 30.425055600909)
C-037,CITY-PARISH,FLORLINE BLVD,CORTANA PL,SIGNAL,NO,POINT (-91.096896534633 30.458288067457)
S-080,CITY-PARISH,ESSEN LN / STARING LN,PERKINS RD,SIGNAL,NO,POINT (-91.109631532801 30.394971690464)
C-176,CITY-PARISH,SHERWOOD FOREST BLVD,CATALINA AVE,SIGNAL,NO,POINT (-91.058642383545 30.484067067651)
S-190,CITY-PARISH,FLORIDA BLVD,LITTLE JOHN DR,SIGNAL,NO,POINT (-91.051289219001 30.459846730012)
S-249,CITY-PARISH,AIRLINE HWY,VINE ST / CONNELL'S VILLAGE LN,SIGNAL,NO,POINT (-91.092148038054 30.447654130641)
S-082,CITY-PARISH,FLORIDA ST,9TH ST,SIGNAL,YES,POINT (-91.181074473389 30.449513972428)
S-199,CITY-PARISH,PLANK RD,72ND AVE / MONARCH AVE,SIGNAL,NO,POINT (-91.147577454404 30.515422348226)
C-274,CITY-PARISH,GOVERNMENT ST,SAINT CHARLES ST,SIGNAL,YES,POINT (-91.185345895467 30.443391886183)
S-138,CITY-PARISH,FLORIDA ST,3RD ST,SIGNAL,YES,POINT (-91.188278516945 30.449306013782)
C-105,CITY-PARISH,MAIN ST,5TH ST,SIGNAL,YES,POINT (-91.185960369845 30.451497781764)
C-106,CITY-PARISH,MAIN ST,6TH ST,SIGNAL,YES,POINT (-91.184772641328 30.451534803936)
S-234,CITY-PARISH,ACADIAN THWY,CLAYCUT RD,SIGNAL,NO,POINT (-91.152453029111 30.439983935251)
S-114,CITY-PARISH,AIRLINE HWY,FOSTER DR,SIGNAL,NO,POINT (-91.141444245183 30.508702533218)
C-046,CITY-PARISH,EVANGELINE ST,E BROOKSTOWN RD,BEACON,NO,POINT (-91.128369362442 30.493453963389)
S-212,CITY-PARISH,NICHOLSON DR,BRIGHTSIDE DR / LEE DR,SIGNAL,YES,POINT (-91.171823050635 30.388306368227)
C-064,CITY-PARISH,GOODWOOD BLVD,SHARP RD,SIGNAL,YES,POINT (-91.068065690916 30.444873282701)
S-128,CITY-PARISH,AIRLINE HWY,CHOCTAW DR,SIGNAL,NO,POINT (-91.108762466766 30.471092151972)
C-234,CITY-PARISH,COLLEGE DR,BANKERS AVE / BAWELL ST,SIGNAL,YES,POINT (-91.137073016279 30.427053796637)
S-236,CITY-PARISH,JEFFERSON HWY,STUMBERG LN,SIGNAL,YES,POINT (-91.039180179464 30.393676383321)
S-161,CITY-PARISH,JEFFERSON HWY,ESSEN LN,SIGNAL,NO,POINT (-91.096694521048 30.419372499542)
S-174,CITY-PARISH,NICHOLSON DR,JENNIFER JEAN DR / BOB PETTIT BLVD,SIGNAL,YES,POINT (-91.177985947257 30.396700795132)
S-089,CITY-PARISH,FLORIDA BLVD,CORA AVE,SIGNAL,NO,POINT (-91.081350827936 30.455084297809)
C-222,CITY-PARISH,MILLERVILLE RD,WELDWOOD DR,SIGNAL,NO,POINT (-91.02437028587 30.435402469936)
C-116,CITY-PARISH,NORTH BLVD,5TH ST / ST CHARLES ST,SIGNAL,YES,POINT (-91.185484977444 30.447145323655)
S-143,CITY-PARISH,LAUREL ST,10TH ST,SIGNAL,NO,POINT (-91.179851877698 30.450625772825)
C-217,CITY-PARISH,GREENWELL SPRINGS RD,VICTORIA DR,SIGNAL,NO,POINT (-91.11742223342 30.474672746137)
C-084,CITY-PARISH,HIGHLAND RD,S STADIUM RD,SIGNAL,NO,POINT (-91.176048729375 30.409024340976)
S-385,STATE,GREENWELL SPRINGS RD,DENHAM RD,BEACON,NO,POINT (-90.998367129298 30.588895586919)
C-270B,CITY-PARISH,SOUTH BLVD,SAINT PHILLIP ST,SIGNAL,YES,POINT (-91.188355556883 30.439708854794)
S-262,CITY-PARISH,FLORIDA BLVD,CLOUD DR,SIGNAL,NO,POINT (-91.132187829637 30.45096443026)
C-240,CITY-PARISH,BLOUNT RD,VETERANS MEMORIAL BLVD,SIGNAL,NO,POINT (-91.166114049229 30.544871506476)
C-155,CITY-PARISH,THOMAS DELPIT DR,WASHINGTON ST,SIGNAL,NO,POINT (-91.176958573107 30.431137545823)
C-186,CITY-PARISH,CORPORATE BLVD,ENERGY DR,SIGNAL,NO,POINT (-91.13204288549 30.425040320285)
S-170,CITY-PARISH,ESSEN LN,I-12,SIGNAL,NO,POINT (-91.098390382266 30.415705664291)
C-140,CITY-PARISH,SHERWOOD FOREST BLVD,COURSEY BLVD,SIGNAL,NO,POINT (-91.051636199759 30.411192006067)
C-150,CITY-PARISH,THOMAS DELPIT DR,BUCHANAN ST,SIGNAL,NO,POINT (-91.176755418037 30.425041363372)
S-023,CITY-PARISH,GREENWELL SPRINGS RD,JOOR RD / OAK VILLA BLVD,SIGNAL,NO,POINT (-91.089688367364 30.483633780243)
C-090,CITY-PARISH,HOLLYWOOD ST,MC CLELLAND DR,SIGNAL,YES,POINT (-91.135223784336 30.499845923305)
C-281,CITY-PARISH,JEFFERSON HWY,COLLEGE DR,SIGNAL,NO,POINT (-91.127144122148 30.438959572713)
C-183,CITY-PARISH,BLUEBONNET BLVD,BLUE CROSS PKWY,SIGNAL,NO,POINT (-91.084453476039 30.397635912466)
C-130,CITY-PARISH,NORTH ST,3RD ST,SIGNAL,YES,POINT (-91.188393813806 30.452488081958)
S-047,CITY-PARISH,SCENIC HWY,MASON AVE,SIGNAL,NO,POINT (-91.17103785642 30.507013053794)
C-139,CITY-PARISH,SHERWOOD FOREST BLVD,N HARRELL'S FERRY RD,SIGNAL,NO,POINT (-91.057315413641 30.432802538678)
S-184,CITY-PARISH,HARDING BLVD,ELTON HARRISON DR,SIGNAL,NO,POINT (-91.192064924358 30.520151626142)
S-160,CITY-PARISH,JEFFERSON HWY,MC CARROLL DR,SIGNAL,YES,POINT (-91.107423545401 30.428251722224)
C-156,CITY-PARISH,WINBOURNE AVE,38TH ST,SIGNAL,NO,POINT (-91.15287174825 30.478483088777)
C-157,CITY-PARISH,WINBOURNE AVE,DOUGHERTY DR,SIGNAL,NO,POINT (-91.135609828825 30.479110356037)
S-239,CITY-PARISH,NICHOLSON DR,GARDERE LN,SIGNAL,NO,POINT (-91.140437984411 30.34583409121)
C-125,CITY-PARISH,NORTH ST,19TH ST,SIGNAL,NO,POINT (-91.169455946747 30.453038163774)
S-269,STATE,GREENWELL SPRINGS RD,MONTICELLO BLVD,SIGNAL,NO,POINT (-91.051879666332 30.496781313238)
C-184,CITY-PARISH,INDUSTRIPLEX BLVD,EXCHEQUER DR,SIGNAL,NO,POINT (-91.047988114889 30.384341525534)
C-212,CITY-PARISH,FOSTER DR,NORTH ST,SIGNAL,NO,POINT (-91.13919547495 30.453947122027)
C-145,CITY-PARISH,SOUTH BLVD,EDDIE ROBINSON DR,SIGNAL,NO,POINT (-91.175543497931 30.439715128504)
S-100,CITY-PARISH,PLANK RD,MOHICAN ST,SIGNAL,NO,POINT (-91.158348948814 30.484833932158)
S-125,CITY-PARISH,SCENIC HWY,HARDING BLVD,SIGNAL,NO,POINT (-91.179059090898 30.520511504278)
S-036,CITY-PARISH,COLLEGE DR,I-10,SIGNAL,NO,POINT (-91.138706183063 30.424380533774)
C-275,CITY-PARISH,GOVERNMENT ST,EAST BLVD,SIGNAL,YES,POINT (-91.180296496167 30.44353615634)
C-256,CITY-PARISH,PERKINS RD,ACADIAN VILLAGE,SIGNAL,YES,POINT (-91.154150640752 30.421720430179)
S-042,CITY-PARISH,SCENIC HWY,EVANGELINE ST,SIGNAL,NO,POINT (-91.169575377127 30.492532702895)
S-011,STATE,GREENWELL SPRINGS RD,HOOPER RD,BEACON,NO,POINT (-90.992629269413 30.572871111334)
S-028,CITY-PARISH,HOLLYWOOD ST,I-110,SIGNAL,YES,POINT (-91.159576149769 30.499500694286)
C-017,CITY-PARISH,CHOCTAW DR,ARDENWOOD AVE,SIGNAL,NO,POINT (-91.130199883979 30.470902985397)
C-133,CITY-PARISH,PERKINS RD,PARK BLVD,SIGNAL,NO,POINT (-91.168804140084 30.437947957708)
C-118,CITY-PARISH,NORTH BLVD,EUGENE ST,SIGNAL,NO,POINT (-91.160504159379 30.448036127066)
S-087,CITY-PARISH,FLORIDA BLVD,TOUCHDOWN PLAZA,SIGNAL,NO,POINT (-91.114025897962 30.451712892504)
C-187,CITY-PARISH,JONES CREEK RD,TIGER BEND RD,SIGNAL,YES,POINT (-91.018596136902 30.391387110729)
